id,name,latitude,longitude,dpcapacity
524,Austin Blvd & Chicago Ave,41.8949,-87.7747,11
525,Glenwood Ave & Touhy Ave,42.0127,-87.6661,15
526,Oakley Ave & Touhy Ave,42.0123,-87.6882,15
527,Western Ave & Howard St,42.0189,-87.69,19
528,Pulaski Rd & Lake St,41.8854,-87.7265,15
529,Cicero Ave & Lake St,41.8868,-87.7453,15
530,Laramie Ave & Kinzie St,41.8878,-87.7555,15
531,Central Ave & Lake St,41.8877,-87.7655,15
532,Austin Blvd & Lake St,41.8879,-87.7744,15
533,Central Park Blvd & 5th Ave,41.8757,-87.7155,15
534,Pulaski Rd & Madison St,41.8808,-87.7263,15
535,Pulaski Rd & Congress Pkwy,41.8743,-87.7257,15
536,Kostner Ave & Lake St,41.8859,-87.7354,15
537,Kenton Ave & Madison St,41.8807,-87.741,15
538,Cicero Ave & Flournoy St,41.8721,-87.7466,15
539,Cicero Ave & Quincy St,41.8776,-87.7454,15
540,Laramie Ave & Madison St,41.8802,-87.7553,15
541,Central Ave & Harrison St,41.873,-87.7645,15
542,Central Ave & Madison St,41.8801,-87.7632,15
543,Laramie Ave & Gladys Ave,41.8758,-87.7553,15
544,Austin Blvd & Madison St,41.8803,-87.7745,15
545,Kostner Ave & Adams St,41.8779,-87.7357,15
546,Damen Ave & Pershing Rd,41.8232,-87.6766,11
547,Ashland Ave & Pershing Rd,41.8235,-87.6656,11
548,Morgan St & Pershing Rd,41.8236,-87.6509,11
549,Marshfield Ave & 44th St,41.814,-87.6666,11
550,Central Ave & Chicago Ave,41.895,-87.7649,11
551,Hoyne Ave & 47th St,41.8082,-87.6772,11
552,Ashland Ave & McDowell Ave,41.8089,-87.6645,11
553,Elizabeth St & 47th St,41.8084,-87.6565,11
554,Damen Ave & 51st St,41.8009,-87.6747,11
555,Ashland Ave & 50th St,41.803,-87.6647,11
556,Throop St & 52nd St,41.7997,-87.6572,11
557,Seeley Ave & Garfield Blvd,41.7941,-87.6755,11
558,Ashland Ave & Garfield Blvd,41.7928,-87.6644,11
559,Racine Ave & Garfield Blvd,41.7942,-87.6551,11
560,Marshfield Ave & 59th St,41.7868,-87.6662,11
561,Damen Ave & 59th St,41.786,-87.6742,11
562,Racine Ave & 61st St,41.7832,-87.6544,11
563,Ashland Ave & 63rd St,41.7794,-87.6648,15
564,Racine Ave & 65th St,41.7754,-87.6543,11
565,Ashland Ave & 66th St,41.7741,-87.6638,11
566,Ashland Ave & 69th St,41.7687,-87.6641,11
567,May St & 69th St,41.7689,-87.6529,11
568,Normal Ave & 72nd St,41.7635,-87.6373,11
569,Woodlawn Ave & 75th St,41.7592,-87.5958,15
570,Evans Ave & 75th St,41.7583,-87.6067,11
571,Vernon Ave & 75th St,41.7584,-87.6141,11
572,State St & 76th St,41.757,-87.6246,11
573,State St & 79th St,41.7508,-87.6244,15
574,Eberhart (Vernon) Ave & 79th St,41.7513,-87.6126,11
575,Cottage Grove Ave & 78th St,41.7532,-87.605,11
576,Greenwood Ave & 79th St,41.7513,-87.5976,15
577,Stony Island Ave & South Chicago Ave,41.7512,-87.5853,11
578,Bennett Ave & 79th St,41.7518,-87.5785,11
579,Phillips Ave & 79th St,41.7518,-87.5652,11
580,Exchange Ave & 79th St,41.7517,-87.5528,15
581,Commercial Ave & 83rd St,41.7446,-87.5512,0
582,Phillips Ave & 83rd St,41.7447,-87.5661,0
583,Stony Island Ave & 82nd St,41.7466,-87.586,11
584,Ellis Ave & 83rd St,41.7441,-87.599,15
585,Cottage Grove Ave & 83rd St,41.7441,-87.6048,11
586,MLK Jr Dr & 83rd St,41.7431,-87.6148,11
587,Wabash Ave & 83rd St,41.7433,-87.6228,11
588,South Chicago Ave & 83rd St,41.7439,-87.5752,11
589,Milwaukee Ave & Cuyler Ave,41.9545,-87.7496,15
590,Kilbourn Ave & Irving Park Rd,41.9537,-87.7406,15
591,Kilbourn Ave & Milwaukee Ave,41.9488,-87.74,23
592,Knox Ave & Montrose Ave,41.9606,-87.7454,15
593,Halsted St & 59th St,41.7875,-87.6449,11
594,Western Blvd & 48th Pl,41.8057,-87.6834,15
595,Wabash Ave & 87th St,41.7366,-87.6226,15
596,Benson Ave & Church St,42.0482,-87.6835,15
597,Chicago Ave & Washington St,42.0326,-87.6791,15
598,Elmwood Ave & Austin St,42.0258,-87.6841,15
599,Valli Produce - Evanston Plaza,42.0397,-87.6994,15
600,Dodge Ave & Church St,42.0483,-87.6982,15
601,Central St Metra,42.0636,-87.6987,15
602,Central St & Girard Ave,42.0643,-87.6862,15
603,Chicago Ave & Sheridan Rd,42.0505,-87.6778,15
604,Sheridan Rd & Noyes St (NU),42.0582,-87.6774,15
605,University Library (NU),42.0529,-87.6734,15
606,Forest Ave & Chicago Ave,41.8944,-87.8002,19
607,Cuyler Ave & Augusta St,41.8982,-87.7831,11
608,Humphrey Ave & Ontario St,41.8902,-87.7783,11
609,Forest Ave & Lake St,41.8889,-87.8003,15
610,Marion St & South Blvd,41.8868,-87.8029,19
611,Oak Park Ave & South Blvd,41.8869,-87.7939,19
612,Ridgeland Ave & Lake St,41.8881,-87.7852,15
613,Wisconsin Ave & Madison St (Temp),41.8799,-87.8039,11
614,East Ave & Madison St,41.8801,-87.7892,15
615,Lombard Ave & Madison St,41.8798,-87.7794,15
616,Oak Park Ave & Harrison St,41.873,-87.7939,19
617,East Ave & Garfield St,41.8713,-87.7889,15
618,Lombard Ave & Garfield St,41.8707,-87.7788,19
619,Keystone Ave & Fullerton Ave,41.9244,-87.7278,15
620,Orleans St & Chestnut St (NEXT Apts),41.8982,-87.6375,15
622,California Ave & Cortez St,41.9004,-87.6967,15
623,Michigan Ave & 8th St,41.8728,-87.624,31
624,Dearborn St & Van Buren St (*),41.8763,-87.6292,16
625,Chicago Ave & Dempster St,42.0417,-87.6807,15
626,Delano Ct & Roosevelt Rd,41.8675,-87.6322,19
